Topic,Words,Frequency,Timestamp
18,"moody, company, ratings, rating, credit",16,2024
19,"truist, company, financial, regulatory, clients",21,2024
20,"joint, venture, partnership, partners, interests",17,2024
21,"tobacco, adult, products, altria, rrps",11,2024
22,"tax, changes, income, rate, effective",10,2024
23,"employees, key, retain, personnel, attract",18,2024
24,"business, financial, adversely, economic, risks",14,2024
25,"tenant, bankruptcy, rent, lease, tenants",6,2024
26,"covid, 19, pandemic, supply, health",8,2024
27,"centers, customers, power, ibx, data",11,2024
28,"infrastructure, information, systems, cyber, chemical",9,2024
29,"consumer, products, preferences, livestock, consumers",7,2024
30,"subcontractors, suppliers, services, parties, components",11,2024
31,"stock, common, price, market, securities",4,2024
32,"laws, employment, employees, food, regulations",4,2024
33,"packaging, products, laws, regulations, labeling",11,2024
34,"events, operations, catastrophic, disaster, weather",10,2024
35,"internet, domain, root, rpki, zone",6,2024
36,"motorola, marks, mobility, license, lenovo",2,2024
37,"lowe, reputation, negative, image, confidence",6,2024
38,"clients, client, services, insurance, advice",4,2024
-1,"including, financial, business, company, operations",118,2025
0,"information, systems, data, security, cybersecurity",348,2025
1,"gas, environmental, energy, climate, costs",249,2025
2,"product, products, laws, fda, clinical",90,2025
3,"foreign, currency, international, operations, countries",57,2025
4,"debt, indebtedness, credit, cash, capital",35,2025
5,"goodwill, impairment, assets, intangible, value",24,2025
6,"litigation, legal, claims, proceedings, matters",24,2025
7,"laws, anti, regulations, bribery, compliance",26,2025
8,"acquired, acquisitions, businesses, acquisition, transaction",38,2025
9,"properties, tenants, managers, operators, borrowers",33,2025
10,"intellectual, property, rights, patents, patent",13,2025
11,"credit, company, risk, market, losses",16,2025
12,"wireless, services, fcc, spectrum, broadband",19,2025
13,"jpmorganchase, chase, jpmorgan, firm, market",24,2025
14,"properties, environmental, contamination, property, substances",12,2025
15,"food, restaurants, concepts, restaurant, franchisees",15,2025
16,"products, distributors, customers, product, inventory",13,2025
17,"products, product, reputation, consumer, safety",18,2025
18,"moody, company, ratings, services, credit",18,2025
19,"truist, company, financial, regulatory, clients",27,2025
20,"joint, venture, partnership, partners, interests",18,2025
21,"tobacco, products, adult, altria, illicit",13,2025
22,"tax, changes, income, effective, laws",13,2025
23,"key, employees, retain, personnel, associates",11,2025
24,"financial, adversely, economic, credit, business",12,2025
25,"tenant, bankruptcy, rent, tenants, lease",8,2025
26,"covid, 19, pandemic, delays, supply",6,2025
27,"centers, customers, power, data, ibx",10,2025
28,"systems, information, infrastructure, chemical, security",8,2025
29,"consumer, products, preferences, livestock, consumers",9,2025
30,"subcontractors, suppliers, services, components, parties",10,2025
31,"stock, price, common, market, securities",4,2025
32,"laws, employment, food, employees, regulations",4,2025
33,"packaging, products, laws, regulations, ingredients",10,2025
34,"events, weather, operations, disasters, natural",12,2025
35,"domain, internet, gtlds, root, names",9,2025
36,"motorola, marks, mobility, license, lenovo",2,2025
37,"negative, reputation, social, lowe, media",8,2025
38,"clients, client, acquisition, services, business",4,2025
